nohup: ignoring input
[10:39:05] Fetched 100 candles.
[10:40:06] Fetched 100 candles.
[10:41:06] Fetched 100 candles.
[10:42:06] Fetched 100 candles.
[10:43:07] Fetched 100 candles.
[10:44:07] Fetched 100 candles.
[10:45:07] Fetched 100 candles.
[10:46:08] Fetched 100 candles.
[10:47:08] Fetched 100 candles.
[10:48:09] Fetched 100 candles.
[10:49:10] Fetched 100 candles.
[10:50:10] Fetched 100 candles.
[10:51:11] Fetched 100 candles.
[10:52:11] Fetched 100 candles.
[10:53:11] Fetched 100 candles.
[10:54:12] Fetched 100 candles.
[10:55:12] Fetched 100 candles.
[10:56:12] Fetched 100 candles.
[10:57:13] Fetched 100 candles.
[10:58:13] Fetched 100 candles.
[10:59:14] Fetched 100 candles.
[11:00:14] Fetched 100 candles.
[11:01:14] Fetched 100 candles.
[11:02:15] Fetched 100 candles.
[11:03:15] Fetched 100 candles.
[11:04:15] Fetched 100 candles.
[11:05:16] Fetched 100 candles.
[11:06:16] Fetched 100 candles.
[11:07:17] Fetched 100 candles.
[11:08:17] Fetched 100 candles.
[11:09:17] Fetched 100 candles.
[11:10:18] Fetched 100 candles.
[11:11:18] Fetched 100 candles.
[11:12:19] Fetched 100 candles.
[11:13:19] Fetched 100 candles.
[11:14:20] Fetched 100 candles.
[11:15:20] Fetched 100 candles.
[11:16:20] Fetched 100 candles.
[11:17:21] Fetched 100 candles.
[11:18:21] Fetched 100 candles.
[11:19:21] Fetched 100 candles.
[11:20:22] Fetched 100 candles.
[11:21:22] Fetched 100 candles.
[11:22:23] Fetched 100 candles.
[11:23:23] Fetched 100 candles.
[11:24:24] Fetched 100 candles.
[11:25:24] Fetched 100 candles.
[11:26:24] Fetched 100 candles.
[11:27:25] Fetched 100 candles.
[11:28:25] Fetched 100 candles.
[11:29:26] Fetched 100 candles.
[11:30:26] Fetched 100 candles.
[11:31:26] Fetched 100 candles.
[11:32:27] Fetched 100 candles.
[11:33:27] Fetched 100 candles.
[11:34:27] Fetched 100 candles.
[11:35:28] Fetched 100 candles.
[11:36:28] Fetched 100 candles.
[11:37:28] Fetched 100 candles.
[11:38:29] Fetched 100 candles.
[11:39:29] Fetched 100 candles.
[11:40:30] Fetched 100 candles.
[11:41:30] Fetched 100 candles.
[11:42:30] Fetched 100 candles.
[11:43:31] Fetched 100 candles.
[11:44:31] Fetched 100 candles.
[11:45:31] Fetched 100 candles.
[11:46:32] Fetched 100 candles.
[11:47:32] Fetched 100 candles.
[11:48:32] Fetched 100 candles.
[11:49:33] Fetched 100 candles.
